#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="37.8",engine_hours="28.4",engine_cycles="4"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2024-03-26,13:26:32,12:26:32,+01:00,+48.1135179,+9.7679291,1882,3D (GPS nav),217592.3,6.9,,-3,-0,0.11,314.0,6.7,4,2462,2673,-6,13.5,14,6.83,0.01,-0.001,0.994,303,,,,30.15,120.535 SQ,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.7,12.0,2679,,,,081117FF N100 N100,3,00000000,,7000,ALT,46,16,0.0,0,0,26.7,12.2,0.0,-7,0.0,0,9,52,46,45,45,43,45,48,48,46,50,48,46,0,1,0,0,ALTERNATOR,
2024-03-26,13:26:33,12:26:33,+01:00,+48.1135213,+9.7678628,1883,3D (GPS nav),217593.3,6.3,,-3,-0,0.08,314.0,6.7,4,2462,2673,1,13.5,14,6.83,0.05,-0.002,0.991,303,,,,30.15,120.535 SQ,GPS1,LOI,,,,,,,,OCN,,,,,,,,,,,,,,,,,,-3.0,12.0,2679,,,,081117FF N100 N100,5,00000000,,7000,ALT,46,16,0.0,0,0,26.7,12.2,0.0,-7,0.0,0,9,52,46,45,45,43,45,48,48,46,50,48,46,0,1,0,0,ALTERNATOR / SET BARO,
2024-03-26,13:26:34,12:26:34,+01:00,+48.1135064,+9.7678834,1891,3D (GPS nav),217594.2,6.1,,-3,-0,0.10,314.0,6.7,4,2462,2673,7,13.6,14,6.83,0.06,-0.003,0.994,303,,,,30.15,120.535 SQ,GPS1,LOI,,,,,,,,OCN,,,,,,,,,,,,,,,,,,-3.0,12.0,2679,,,,081117FF N100 N100,5,00000000,,7000,ALT,46,16,0.0,0,0,26.7,12.2,0.0,-7,0.0,0,9,52,46,45,45,43,45,48,48,46,50,48,48,0,1,0,0,ALTERNATOR / SET BARO,
2024-03-26,13:26:35,12:26:35,+01:00,+48.1135182,+9.7678679,1882,3D (GPS nav),217595.3,2.3,,0,-0,0.16,314.1,6.7,4,2462,2673,1,13.6,14,6.84,0.07,-0.003,0.998,303,,,,30.15,120.535 SQ,GPS1,LOI,,,,,,,,OCN,,,,,,,,,,,,,,,,,,-3.7,12.0,2679,,,,081117FF N100 N100,3,00000000,,7000,ALT,46,16,0.0,0,0,26.7,12.2,0.0,-7,0.0,0,9,52,46,45,45,43,45,48,48,46,50,48,48,0,1,0,0,ALTERNATOR / SET BARO,
2024-03-26,13:26:36,12:26:36,+01:00,+48.1135044,+9.7678783,1894,3D (GPS nav),217596.3,0.5,,0,-0,-0.06,314.0,6.7,4,2462,2673,-0,13.6,14,6.84,0.08,-0.003,0.993,303,,,,30.15,120.535 SQ,GPS1,LOI MSG,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.7,12.0,2680,,,,081117FF N100 N100,3,00000000,,7000,ALT,46,16,0.0,0,0,26.7,12.2,0.0,-7,0.0,0,9,52,46,45,45,43,45,48,48,46,50,48,48,0,1,0,0,ALTERNATOR / SET BARO,
2024-03-26,13:26:37,12:26:37,+01:00,+48.1134905,+9.7678856,1906,3D (GPS nav),217597.3,0.2,,0,-0,0.04,314.0,6.7,4,2462,2673,-2,13.5,14,6.83,0.08,-0.003,0.993,303,,,,30.15,120.535 SQ,GPS1,LOI MSG,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.7,12.0,2680,,,,081117FF N100 N100,5,00000000,,7000,ALT,46,16,0.0,0,0,26.7,12.2,0.0,-7,0.0,0,9,52,46,45,45,43,45,48,48,46,50,48,48,0,1,0,0,ALTERNATOR / SET BARO,
2024-03-26,13:26:38,12:26:38,+01:00,+48.1135022,+9.7678458,1911,3D (GPS nav),217598.3,0.2,,0,0,-0.06,314.0,6.7,4,2462,2673,-4,13.5,14,6.83,0.09,-0.002,0.991,303,,,,30.15,120.535 SQ,GPS1,LOI MSG,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.7,12.0,2679,,,,081117FF N100 N100,3,00000000,,7000,ALT,46,16,0.0,0,0,26.7,12.2,0.0,-7,0.0,0,9,52,46,45,45,43,45,48,48,46,50,48,48,0,1,0,0,ALTERNATOR / SET BARO,
2024-03-26,13:26:39,12:26:39,+01:00,+48.1134908,+9.7678492,1921,3D (GPS nav),217599.3,0.1,,0,-0,-0.03,314.0,6.7,4,2462,2673,-1,13.5,14,6.83,0.09,0.001,0.993,303,,,,30.15,120.535 SQ,GPS1,LOI MSG,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.7,12.0,2679,,,,081117FF N100 N100,2,00000000,,7000,ALT,46,16,0.0,0,0,26.7,12.2,0.0,-7,0.0,0,9,52,46,45,45,43,45,48,48,46,50,48,48,0,1,0,0,ALTERNATOR / SET BARO,
2024-03-26,13:26:40,12:26:40,+01:00,+48.1134787,+9.7678702,1927,3D (GPS nav),217600.3,0.2,,-0,-0,0.21,314.0,6.7,4,2462,2673,5,13.4,14,6.83,0.09,-0.001,0.995,303,,,,30.15,120.535 SQ,GPS1,LOI MSG,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.7,12.0,2680,,,,081117FF N100 N100,3,00000000,,7000,ALT,46,16,0.0,0,0,26.7,12.2,0.0,-7,0.0,0,9,52,46,45,45,43,45,48,48,46,50,48,48,0,1,0,0,ALTERNATOR / SET BARO,
2024-03-26,13:26:41,12:26:41,+01:00,+48.1134722,+9.7678763,1932,3D (GPS nav),217601.3,0.2,,-0,0,-0.03,314.1,6.7,4,2462,2673,6,13.5,14,6.84,0.10,-0.001,0.993,303,,,,30.15,120.535 SQ,GPS1,LOI MSG,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.7,12.0,2680,,,,081117FF N100 N100,4,00000000,,7000,ALT,46,16,0.0,0,0,26.7,12.2,0.0,-7,0.0,0,9,52,46,45,45,43,45,48,48,46,50,48,48,0,1,0,0,ALTERNATOR / SET BARO,
2024-03-26,13:26:42,12:26:42,+01:00,+48.1134744,+9.7678738,1930,3D (GPS nav),217602.3,0.1,,0,0,-0.05,314.0,6.7,4,2462,2673,13,13.5,14,6.84,0.09,0.000,0.992,303,,,,30.15,120.535 SQ,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.7,12.0,2680,,,,081117FF N100 N100,2,00000000,,7000,ALT,46,16,0.0,0,0,26.7,12.2,0.0,-7,0.0,0,9,52,46,45,46,43,45,48,48,46,50,48,48,0,1,0,0,ALTERNATOR / SET BARO,
