#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="22.9",engine_hours="16.6",engine_cycles="4"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2023-08-11,11:16:49,09:16:49,+02:00,+48.1139211,+9.7646679,1923,3D-,465427.0,0.0,,0,0,0.18,,1.8,8,1607,1774,4,12.2,13,,,-0.017,0.991,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.041,+0.03,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,26.8,3331,,,,081011F8 A31 A31,2,00000000,,185,16,0.1,0,0,28.1,12.8,12.9,-2,0.0,19,1,207,228,257,255,250,237,207,208,259,250,259,244,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-11,11:16:49,09:16:49,+02:00,+48.1139226,+9.7646655,1925,3D-,465427.5,0.0,,0,0,0.18,,1.8,8,1607,1774,-0,12.4,13,,,-0.016,0.992,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.041,+0.03,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,26.8,3331,,,,081011F8 A33 A33,2,00000000,,185,16,0.1,0,0,28.1,12.8,12.9,-2,0.0,19,1,207,228,257,255,250,237,207,208,259,250,259,244,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-11,11:16:50,09:16:50,+02:00,+48.1139227,+9.7646624,1927,3D-,465428.5,0.0,,0,0,0.13,,1.8,8,1607,1774,-1,12.4,13,,,-0.016,0.991,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.041,+0.03,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,26.8,3331,,,,081011F8 A36 A36,1,00000000,,185,16,0.1,0,0,28.1,12.8,12.9,-2,0.0,19,1,207,228,257,255,250,237,207,208,259,250,259,244,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-11,11:16:51,09:16:51,+02:00,+48.1139233,+9.7646593,1927,3D-,465429.5,0.0,,0,0,0.09,,1.3,8,1607,1774,-2,12.4,13,,,-0.017,0.992,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.041,+0.03,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,26.8,3331,,,,081011F8 A39 A39,2,00000000,,185,16,0.1,0,0,28.1,12.8,12.8,-2,0.0,19,1,207,228,257,255,250,237,207,208,259,250,259,244,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-11,11:16:53,09:16:53,+02:00,+48.1139226,+9.7646566,1927,3D-,465430.9,0.0,,0,0,0.06,,1.3,8,1607,1774,4,12.3,13,,,-0.016,0.992,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.041,+0.03,7595,1.25nm,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,-3.6,26.8,3332,,,,081111F8 A43 A43,2,00000000,,185,16,0.1,0,0,28.1,12.8,12.8,-3,0.0,19,1,207,228,257,255,250,237,207,208,259,250,259,244,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-11,11:16:54,09:16:54,+02:00,+48.1139214,+9.7646545,1926,3D-,465431.6,0.0,,0,0,0.05,,1.8,8,1607,1774,2,12.3,13,,,-0.018,0.992,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.041,+0.03,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,26.8,3332,,,,081111F8 A45 A45,2,00000000,L+,185,16,0.1,0,0,28.1,12.8,12.8,-3,0.0,19,1,207,228,257,255,250,237,207,208,259,248,259,244,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-11,11:16:55,09:16:55,+02:00,+48.1139199,+9.7646512,1925,3D-,465432.5,0.0,,0,0,0.04,,1.3,8,1607,1774,-2,12.4,13,,,-0.018,0.991,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.041,+0.03,7595,1.25nm,,,,,PFT,,,,,,,,,,,,,-3.6,26.8,3332,,,,081111F8 A48 A48,1,00000000,,185,16,0.1,0,0,28.1,12.8,12.8,-3,0.0,19,1,207,228,257,255,250,237,207,208,259,248,259,244,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-11,11:16:56,09:16:56,+02:00,+48.1139180,+9.7646577,1925,3D-,465433.5,0.0,,0,0,0.03,,1.3,8,1607,1774,3,12.5,13,,,-0.017,0.990,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.041,+0.03,7595,1.25nm,,,,,PFT,,,,,,,,,,,,,-3.6,26.8,3331,,,,081111F8 A51 A51,3,00000000,,185,16,0.1,0,0,28.1,12.8,12.8,-3,0.0,19,1,207,228,257,255,250,237,207,208,259,248,259,243,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-11,11:16:57,09:16:57,+02:00,+48.1139173,+9.7646566,1925,3D-,465434.5,0.0,,0,0,0.02,,1.8,8,1607,1774,4,12.5,13,,,-0.017,0.993,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.041,+0.03,7595,1.25nm,,,,,PFT,,,,,,,,,,,,,-3.6,26.8,3332,,,,081111F8 A54 A54,2,00000000,,185,16,0.1,0,0,28.1,12.8,12.8,-3,0.0,19,1,207,228,257,255,250,237,207,208,259,248,259,243,1,1,0,0,MAIN BUS / ALTERNATOR,
