#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="33.8",engine_hours="25.2",engine_cycles="4"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2024-03-14,10:21:56,09:21:56,+01:00,+51.6147427,+6.8603174,283,3D- (SFD1),379316.0,1.0,,0,0,0.34,,2.8,6,193,-33,3,15.0,15,,,0.008,0.992,302,,,,29.68,,GPS1,LOI,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,-3.1,13.3,40,,,,081111F8 A38 A38,2,00000000,,,,68,16,0.0,0,0,29.2,12.6,12.1,-3,0.0,15,0,64,61,64,64,61,64,57,57,61,63,63,63,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-03-14,10:21:57,09:21:57,+01:00,+51.6147559,+6.8602681,266,3D- (SFD1),379316.7,0.9,,-0,0,-2.02,,1.8,6,193,-33,-1,14.9,15,,,0.007,0.992,302,,,,29.68,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-3.1,13.3,40,,,,081111F8 A40 A40,2,00000000,,,,68,16,0.0,0,0,29.2,12.6,12.1,-3,0.0,15,0,64,61,64,64,61,64,57,57,61,63,63,63,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-03-14,10:21:58,09:21:58,+01:00,+51.6147447,+6.8602834,279,3D- (SFD1),379317.7,0.7,,0,-0,0.03,,1.8,6,193,-33,3,14.9,15,,,0.008,0.994,302,,,,29.68,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-3.1,13.3,41,,,,081111F8 A43 A43,2,00000000,,,,68,16,0.0,0,0,29.2,12.6,12.1,-3,0.0,15,0,64,61,64,64,61,64,57,57,61,63,63,63,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-03-14,10:21:59,09:21:59,+01:00,+51.6147422,+6.8602841,279,3D- (SFD1),379318.7,0.6,,0,-0,-0.55,,1.8,6,193,-33,2,14.9,15,,,0.007,0.994,302,,,,29.68,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-3.1,13.3,41,,,,081111F8 A46 A46,2,00000000,,,,68,16,0.0,0,0,29.2,12.6,12.1,-3,0.0,15,0,64,61,64,64,61,64,57,57,61,63,63,63,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-03-14,10:22:00,09:22:00,+01:00,+51.6147237,+6.8602652,262,3D- (SFD1),379319.7,0.7,,-0,0,0.03,,1.8,6,193,-33,-6,14.9,15,,,0.006,0.993,302,,,,29.68,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-3.1,13.3,41,,,,081111F8 A49 A49,2,00000000,,,,68,16,0.0,0,0,29.2,12.6,12.1,-3,0.0,15,0,64,61,64,64,61,64,57,57,61,63,63,63,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-03-14,10:22:01,09:22:01,+01:00,+51.6147250,+6.8603144,284,3D- (SFD1),379320.8,0.4,,-0,0,0.02,,1.8,6,193,-33,-5,14.9,15,,,0.006,0.992,302,,,,29.68,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-3.1,13.3,41,,,,081111F8 A52 A52,2,00000000,,,,68,16,0.0,0,0,29.2,12.6,12.1,-3,0.0,15,0,64,61,64,64,61,64,57,57,61,63,63,63,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-03-14,10:22:02,09:22:02,+01:00,+51.6147444,+6.8602636,258,3D- (SFD1),379321.7,1.1,,-0,-1,-1.52,,1.8,6,193,-33,-1,14.9,15,,,0.008,0.992,302,,,,29.68,,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.1,13.3,42,,,,081111F8 A55 A55,2,00000000,L+,7000,ALT,68,16,0.0,0,0,29.2,12.6,12.1,-3,0.0,15,0,64,61,64,64,61,64,57,57,61,63,63,63,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-03-14,10:22:03,09:22:03,+01:00,+51.6146900,+6.8602995,241,3D- (SFD1),379322.7,0.7,,0,-0,0.15,,1.8,6,193,-33,5,14.9,15,,,0.007,0.992,302,,,,29.68,,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.1,13.3,42,,,,081111F8 A58 A58,1,00000000,,7000,ALT,68,16,0.0,0,0,29.2,12.6,12.1,-3,0.0,15,0,64,61,64,64,61,64,57,57,61,63,63,63,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-03-14,10:22:04,09:22:04,+01:00,+51.6147684,+6.8602682,237,3D- (SFD1),379323.7,0.9,,0,-0,-0.06,,1.8,6,193,-33,0,14.9,15,,,0.007,0.992,302,,,,29.68,,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.1,13.4,42,,,,081111F8 A61 A61,2,00000000,,7000,ALT,68,16,0.0,0,0,29.2,12.6,12.1,-3,0.0,15,0,64,61,64,64,61,64,57,57,61,63,63,63,1,1,0,0,MAIN BUS / ALTERNATOR,
