#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="43.3",engine_hours="32.4",engine_cycles="4"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2024-06-10,10:35:39,08:35:39,+02:00,,,,,,,,,,,13.7,,,1999,1803,0,14.4,15,7.11,-0.72,0.013,0.991,303,,,,29.71,,GPS1,LOI,,,,,,,,ENR,,,,,Fail / System not usable,,,,,,,,,,,,,-3.8,18.2,2838,,,,081117FF N71 N71,39,00010000,,7000,ALT,82,16,0.6,0,810,25.0,11.5,11.9,-4,9.3,2,7,63,59,59,57,55,57,302,327,316,333,318,309,1,1,0,20,MAIN BUS / ALTERNATOR,
2024-06-10,10:35:40,08:35:40,+02:00,,,,,,,,,,,13.7,,,1998,1803,-22,14.4,15,7.11,-0.72,0.040,1.023,303,,,,29.71,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-3.8,18.2,2838,,,,081117FF N75 N75,37,00010000,,7000,ALT,73,16,0.7,0,820,24.1,11.9,11.9,-4,9.6,2,7,63,59,59,57,55,57,378,430,403,374,408,397,1,1,0,23,MAIN BUS / ALTERNATOR,
2024-06-10,10:35:41,08:35:41,+02:00,,,,,,,,,,,13.7,,,1998,1802,-6,14.5,15,7.15,-0.68,-0.013,0.992,303,,,,29.71,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,18.2,2838,,,,081117FF N79 N79,50,00010000,,7000,ALT,68,16,0.8,0,840,23.6,12.1,11.9,-4,9.3,2,7,64,59,59,59,57,59,442,507,477,441,484,484,1,1,0,24,MAIN BUS / ALTERNATOR,
2024-06-10,10:35:42,08:35:42,+02:00,,,,,,,,,,,13.7,,,1998,1803,2,14.4,15,7.11,-0.75,0.034,0.970,303,,,,29.71,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,18.2,2839,,,,081117FF N83 N83,25,00010000,,7000,ALT,66,16,0.9,0,860,23.3,12.2,11.9,-4,9.1,2,7,64,59,59,59,57,59,491,565,534,504,534,547,1,1,0,24,MAIN BUS / ALTERNATOR,
2024-06-10,10:35:43,08:35:43,+02:00,,,,,,,,,,,13.6,,,1999,1803,9,14.4,15,7.14,-0.75,0.019,0.992,303,,,,29.71,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,18.2,2839,,,,081117FF N87 N87,29,00010000,,7000,ALT,64,16,0.9,0,870,23.0,12.3,11.9,-4,8.9,2,7,66,61,61,59,57,59,541,631,588,572,579,615,1,1,0,25,MAIN BUS / ALTERNATOR,
2024-06-10,10:35:44,08:35:44,+02:00,,,,,,,,,,,13.6,,,1998,1803,-4,14.4,15,7.12,-0.76,0.023,0.991,303,,,,29.71,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,18.2,2839,,,,081117FF N91 N91,24,00010000,,7000,ALT,63,16,0.9,0,890,22.8,12.3,11.9,-4,8.8,2,6,66,61,61,61,59,61,583,680,640,630,613,666,1,1,0,25,MAIN BUS / ALTERNATOR,
2024-06-10,10:35:45,08:35:45,+02:00,,,,,,,,,,,13.6,,,1998,1803,-2,14.4,15,7.10,-0.74,0.013,0.971,303,,,,29.71,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,18.2,2839,,,,081117FF N95 N95,27,00010000,,7000,ALT,63,16,1.0,1,910,22.8,12.3,11.9,-4,8.7,2,6,68,61,61,61,59,61,613,718,676,671,642,702,1,1,0,25,MAIN BUS / ALTERNATOR,
2024-06-10,10:35:46,08:35:46,+02:00,,,,,,,,,,,13.6,,,1998,1803,3,14.5,15,7.10,-0.75,0.010,0.974,303,,,,29.71,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,18.2,2838,,,,081117FF N99 N99,18,00010000,,7000,ALT,63,16,1.0,1,940,22.9,12.3,11.9,-4,9.0,2,6,68,63,63,61,61,63,648,754,712,714,669,739,1,1,0,26,MAIN BUS / ALTERNATOR,
2024-06-10,10:33:33,08:33:33,+02:00,+48.1135430,+9.7678525,1902,3D (GPS nav),117213.4,1.7,,0,-0,-0.06,13.6,3.9,5,1998,1803,-1,14.4,15,7.14,-0.68,0.017,0.994,303,,,,29.71,,GPS1,MSG,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,18.2,2838,,,,080017FF N100 N100,41,00000000,,7000,ALT,63,16,1.1,1,960,23.1,12.3,11.9,-4,9.2,2,6,70,63,63,63,61,63,673,784,741,747,693,774,1,1,0,27,MAIN BUS / ALTERNATOR,
