#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="51.3",engine_hours="38.3",engine_cycles="5"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2024-08-06,10:08:03,08:08:03,+02:00,+48.1135455,+9.7678566,1907,3D (GPS nav),202082.7,6.0,,-3,0,0.07,24.4,3.8,6,1853,2013,-6,15.0,16,7.11,-0.54,0.006,0.993,303,,,,30.09,,GPS1,MSG,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,-3.8,21.7,3058,,,,040017FF N99 N99,4,00000000,,7000,ALT,66,16,0.0,0,0,27.4,0.1,12.0,0,0.0,6,5,66,63,63,63,59,63,64,64,64,66,66,64,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-06,10:08:04,08:08:04,+02:00,+48.1135422,+9.7678430,1903,3D (GPS nav),202083.6,2.6,,0,0,0.10,24.3,3.8,6,1853,2013,1,15.0,16,7.19,-0.52,0.008,0.993,303,,,,30.09,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-3.8,21.7,3059,,,,040017FF N100 N100,4,00000000,,7000,ALT,66,16,0.0,0,0,27.4,0.1,12.0,0,0.0,6,5,66,63,63,63,61,63,64,64,64,66,66,64,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-06,10:08:05,08:08:05,+02:00,+48.1135424,+9.7678413,1901,3D (GPS nav),202084.6,0.4,,0,0,0.00,24.6,3.8,6,1853,2013,4,15.0,16,7.04,-0.33,0.009,0.993,303,,,,30.09,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-3.8,21.7,3059,,,,040017FF N100 N100,3,00000000,,7000,ALT,66,16,0.0,0,0,27.4,0.1,12.0,0,0.0,6,5,66,63,63,63,61,63,64,64,64,66,66,64,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-06,10:08:06,08:08:06,+02:00,+48.1135377,+9.7678413,1901,3D (GPS nav),202085.6,0.1,,0,-0,0.01,24.6,3.8,6,1853,2013,5,15.0,16,7.01,-0.42,0.008,0.992,303,,,,30.09,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-3.8,21.7,3059,,,,040017FF N100 N100,2,00000000,,7000,ALT,66,16,0.0,0,0,27.4,0.1,12.0,0,0.0,6,5,66,63,63,63,61,63,64,64,64,66,66,64,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-06,10:08:07,08:08:07,+02:00,+48.1135364,+9.7678419,1900,3D (GPS nav),202086.6,0.1,,-0,0,-0.08,24.6,3.8,6,1853,2013,-5,15.0,16,7.03,-0.51,0.009,0.993,303,,,,30.09,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-3.8,21.7,3060,,,,040017FF N100 N100,2,00000000,,7000,ALT,66,16,0.0,0,0,27.4,0.1,12.0,0,0.0,6,5,66,63,63,63,61,63,64,64,64,66,66,64,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-06,10:08:08,08:08:08,+02:00,+48.1135377,+9.7678430,1901,3D (GPS nav),202087.6,0.0,,-0,-0,0.01,24.6,3.8,6,1853,2013,2,15.0,16,7.19,-0.47,0.007,0.992,303,,,,30.09,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-3.8,21.7,3060,,,,040017FF N100 N100,3,00000000,,7000,ALT,66,16,0.0,0,0,27.4,0.1,12.0,0,0.0,6,5,66,63,63,63,61,63,64,64,64,66,66,64,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-06,10:08:09,08:08:09,+02:00,+48.1135387,+9.7678441,1900,3D (GPS nav),202088.6,0.1,,-0,0,0.13,24.5,3.8,6,1853,2013,-0,14.9,16,7.15,-0.52,0.009,0.992,303,,,,30.09,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-3.8,21.7,3061,,,,040017FF N100 N100,2,00000000,,7000,ALT,66,16,0.0,0,0,27.4,0.1,12.0,0,0.0,6,5,66,63,63,63,61,63,64,64,64,66,66,64,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-06,10:08:10,08:08:10,+02:00,+48.1135402,+9.7678452,1901,3D (GPS nav),202089.6,0.1,,0,-0,-0.07,24.6,3.8,6,1853,2013,1,14.9,16,7.08,-0.53,0.009,0.994,303,,,,30.09,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-3.8,21.7,3061,,,,040017FF N100 N100,2,00000000,,7000,ALT,66,16,0.0,0,0,27.4,0.1,12.0,0,0.0,6,5,66,63,63,63,61,63,64,64,64,66,66,64,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-06,10:08:11,08:08:11,+02:00,+48.1135419,+9.7678461,1902,3D (GPS nav),202090.6,0.1,,0,0,0.02,24.5,3.8,6,1853,2013,-7,14.9,16,7.05,-0.55,0.008,0.991,303,,,,30.09,,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-3.8,21.8,3062,,,,040017FF N100 N100,2,00000000,,7000,ALT,66,16,0.0,0,0,27.4,0.1,12.0,0,0.0,6,5,66,63,63,63,61,63,64,64,64,66,66,64,1,1,0,0,MAIN BUS / ALTERNATOR,
