#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="53.5",engine_hours="40.1",engine_cycles="5"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2024-08-09,19:22:18,17:22:18,+02:00,+48.1139379,+9.7647868,1929,3D- (SFD1),494537.9,0.9,,1,-0,1.42,215.2,1.5,7,1723,1909,-12,17.1,18,7.33,-0.11,0.003,0.992,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,29.7,3795,,,,081117FF N14 N13,4,00000000,,7000,ALT,203,16,0.0,0,0,28.0,12.9,12.5,-2,0.0,3,6,199,225,271,264,266,244,219,232,286,271,286,257,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-09,19:22:19,17:22:19,+02:00,+48.1139320,+9.7647659,1911,3D- (SFD1),494538.8,1.0,,-0,0,-0.67,215.2,1.5,7,1723,1909,-3,17.0,18,7.32,-0.11,0.003,0.992,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,29.7,3796,,,,081117FF N18 N17,2,00000000,,7000,ALT,203,16,0.0,0,0,28.0,12.9,12.5,-2,0.0,3,6,199,225,271,264,266,244,219,230,286,271,286,255,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-09,19:22:20,17:22:20,+02:00,+48.1139241,+9.7647418,1909,3D- (SFD1),494539.8,0.9,,-1,0,-1.58,215.2,1.5,7,1723,1909,5,17.0,18,7.33,-0.10,0.003,0.994,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,29.8,3797,,,,081117FF N22 N21,3,00000000,,7000,ALT,203,16,0.0,0,0,28.0,12.9,12.5,-3,0.0,3,6,199,225,271,264,264,244,219,230,286,271,286,255,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-09,19:22:21,17:22:21,+02:00,+48.1139258,+9.7647413,1914,3D- (SFD1),494540.8,1.4,,-1,0,-0.32,215.2,1.5,7,1723,1909,5,17.1,18,7.33,-0.10,0.002,0.992,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,29.8,3799,,,,081117FF N26 N25,2,00000000,,7000,ALT,203,16,0.0,0,0,28.0,12.9,12.5,-4,0.0,3,6,199,225,271,264,264,244,219,230,286,271,286,255,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-09,19:22:22,17:22:22,+02:00,+48.1139189,+9.7647500,1905,3D- (SFD1),494541.8,0.5,,-0,-0,0.52,215.2,1.5,7,1723,1909,2,17.1,18,7.34,-0.11,-0.001,0.993,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,29.8,3801,,,,081117FF N30 N29,4,00000000,,7000,ALT,203,16,0.1,0,0,28.0,12.8,12.5,-5,0.0,3,6,199,225,271,264,264,244,219,230,286,271,286,255,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-09,19:22:23,17:22:23,+02:00,+48.1139121,+9.7647710,1909,3D- (SFD1),494542.8,0.6,,-0,-0,-0.37,215.2,1.5,7,1723,1909,-1,17.0,18,7.34,-0.10,0.003,0.992,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,29.8,3803,,,,081117FF N32 N32,2,00000000,,7000,ALT,203,16,0.5,0,0,28.0,12.8,12.5,-5,0.1,3,6,199,225,271,264,264,244,219,230,286,270,286,255,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-09,19:22:24,17:22:24,+02:00,+48.1139089,+9.7647632,1901,3D- (SFD1),494543.8,0.8,,-0,0,-1.82,215.2,1.5,7,1723,1909,-7,16.8,18,7.33,-0.12,0.002,0.992,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,29.8,3804,,,,081117FF N32 N32,2,00000000,,7000,ALT,203,16,0.8,0,0,28.0,12.8,12.5,-5,0.6,3,6,199,225,270,264,264,244,219,230,286,270,286,255,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-09,19:22:25,17:22:25,+02:00,+48.1138837,+9.7647734,1920,3D- (SFD1),494544.8,1.4,,-1,0,-0.96,215.2,1.5,7,1723,1909,1,16.9,18,7.33,-0.11,0.002,0.993,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,29.8,3805,,,,081117FF N32 N32,4,00000000,,7000,ALT,203,16,0.8,0,0,28.0,12.8,12.5,-5,1.2,3,6,199,225,270,264,264,244,219,230,286,270,286,255,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-08-09,19:22:26,17:22:26,+02:00,+48.1138672,+9.7647829,1909,3D- (SFD1),494545.6,1.4,,1,-0,1.37,215.2,1.5,7,1723,1909,3,17.0,18,7.33,-0.11,0.002,0.993,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.8,29.9,3807,,,,081117FF N32 N32,4,00000000,,7000,ALT,203,16,0.8,0,0,28.0,12.8,12.5,-5,1.6,3,6,199,223,270,264,264,244,219,230,286,270,284,255,1,1,0,0,MAIN BUS / ALTERNATOR,
