#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="23.6",engine_hours="17.1",engine_cycles="4"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2023-08-30,19:47:24,17:47:24,+02:00,+48.1139106,+9.7647001,1921,3D-,323261.9,0.0,,0,0,0.00,,1.2,10,1976,2144,0,12.4,13,,,-0.002,0.992,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.043,+0.03,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,18.0,2785,,,,081011F8 A32 A32,3,00000000,,198,16,0.1,0,0,27.7,13.0,12.8,-2,0.0,19,1,216,253,286,280,273,255,226,244,298,288,293,273,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-30,19:47:24,17:47:24,+02:00,+48.1139100,+9.7646982,1921,3D-,323262.0,0.0,,0,0,-0.00,,1.2,10,1976,2144,-0,12.4,13,,,-0.001,0.990,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.043,+0.03,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,18.0,2785,,,,081011F8 A33 A33,3,00000000,,198,16,0.1,0,0,27.7,13.0,12.8,-2,0.0,19,1,216,253,286,280,273,255,226,244,298,288,293,273,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-30,19:47:25,17:47:25,+02:00,+48.1139100,+9.7646960,1918,3D-,323263.0,0.0,,0,0,0.00,,1.2,10,1976,2144,1,12.4,13,,,0.003,0.991,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.042,+0.03,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,18.0,2785,,,,081011F8 A36 A36,2,00000000,,198,16,0.1,0,0,27.7,13.0,12.8,-2,0.0,19,1,216,253,286,280,273,255,226,244,298,288,293,273,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-30,19:47:26,17:47:26,+02:00,+48.1138888,+9.7646624,1806,3D (SFD1),323245.9,0.6,,-0,-0,-0.87,,1.3,9,1976,2144,-3,12.4,13,,,0.002,0.991,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.041,+0.03,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,18.0,2785,,,,081011F8 A39 A39,3,00000000,,198,16,0.1,0,0,27.7,13.0,12.8,-2,0.0,19,1,216,253,286,280,273,255,226,244,298,288,293,273,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-30,19:47:27,17:47:27,+02:00,+48.1138981,+9.7646600,1812,3D (SFD1),323246.9,0.4,,-0,0,-0.14,,1.3,9,1976,2144,4,12.4,13,,,0.000,0.989,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.041,+0.03,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,18.0,2785,,,,081111F8 A42 A42,3,00000000,L+,198,16,0.1,0,0,27.7,13.0,12.8,-2,0.0,19,1,216,253,286,280,273,255,226,244,298,288,293,273,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-30,19:47:28,17:47:28,+02:00,+48.1139024,+9.7646854,1842,3D (SFD1),323247.8,1.0,,0,-0,-0.45,,1.3,9,1976,2144,-1,12.4,13,,,-0.000,0.990,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.042,+0.03,7595,1.25nm,,,,,PFT,,,,,,,,,,,,,-3.6,18.0,2785,,,,081111F8 A45 A45,2,00000000,,198,16,0.1,0,0,27.7,13.0,12.8,-2,0.0,19,1,216,253,286,280,273,255,226,244,298,288,293,273,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-30,19:47:29,17:47:29,+02:00,+48.1139102,+9.7647051,1842,3D (SFD1),323248.8,0.8,,-0,0,-0.10,,1.3,9,1976,2144,6,12.4,13,,,-0.001,0.991,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.043,+0.03,7595,1.25nm,,,,,PFT,,,,,,,,,,,,,-3.6,18.0,2785,,,,081111F8 A48 A48,2,00000000,,198,16,0.1,0,0,27.7,13.0,12.8,-2,0.0,19,1,216,253,286,280,273,255,226,244,297,288,293,273,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-30,19:47:30,17:47:30,+02:00,+48.1139037,+9.7646921,1825,3D (SFD1),323249.8,0.4,,0,-0,-0.10,,1.3,9,1976,2144,0,12.5,13,,,0.001,0.991,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.042,+0.03,7595,1.25nm,,,,,PFT,,,,,,,,,,,,,-3.6,18.0,2785,,,,081111F8 A51 A51,3,00000000,,198,16,0.1,0,0,27.7,13.0,12.8,-2,0.0,19,1,216,253,286,280,273,255,226,244,297,288,293,273,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-30,19:47:31,17:47:31,+02:00,+48.1138971,+9.7647117,1835,3D (SFD1),323250.9,0.7,,0,-0,0.02,,1.3,9,1976,2144,-1,12.3,13,,,-0.001,0.989,187,,,,30.10,,GPS,,EDMZ,12.1,190,190,0.043,+0.03,7595,1.25nm,,,,,PFT,,,,,,,,,,,,,-3.6,18.0,2785,,,,081111F8 A54 A54,3,00000000,,198,16,0.1,0,0,27.7,13.0,12.8,-2,0.0,19,1,216,253,286,280,273,255,226,244,297,286,291,273,1,1,0,0,MAIN BUS / ALTERNATOR,
