#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="38.7",engine_hours="29.1",engine_cycles="4"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2024-04-10,17:42:51,15:42:51,+02:00,+48.1135880,+9.7679175,1916,3D (GPS nav),315770.5,6.0,,-3,0,-0.21,349.6,7.2,4,1460,1671,-4,14.3,15,6.95,-0.26,0.051,1.032,303,,,,30.15,,GPS1,LOI,,,,,,,,ENR,,,,,Fail / System not usable,,,,,,,,,,,,,-3.7,12.7,1532,,,,081117FF N99 N99,47,00000000,HWF,7000,ALT,70,16,0.0,0,240,27.9,9.9,11.5,-4,2.2,0,13,63,59,61,59,61,63,147,131,127,133,144,131,1,1,0,2,MAIN BUS / ALTERNATOR / STARTER,
2024-04-10,17:42:51,15:42:51,+02:00,+48.1135735,+9.7678789,1911,3D (GPS nav),315771.5,6.0,,-3,-0,-0.12,349.5,7.2,4,1460,1671,7,14.2,15,6.93,-0.15,0.034,1.000,303,,,,30.15,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-3.7,12.7,1532,,,,081117FF N100 N100,70,00000000,HWF,7000,ALT,70,16,0.2,0,720,27.3,10.6,11.5,-5,5.5,0,13,63,59,61,59,61,63,232,216,223,232,208,232,1,1,0,13,MAIN BUS / ALTERNATOR / SET BARO,
2024-04-10,17:42:52,15:42:52,+02:00,+48.1135697,+9.7678784,1914,3D (GPS nav),315772.5,1.2,,0,-0,-0.21,349.4,7.2,4,1460,1671,-3,14.2,15,6.91,-0.20,-0.016,0.983,303,,,,30.15,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-3.7,12.7,1532,,,,081117FF N100 N100,55,00000000,HWF,7000,ALT,70,16,0.5,1,860,26.2,11.3,11.6,-5,7.7,0,13,63,59,61,59,63,63,325,313,338,343,282,352,1,1,0,22,MAIN BUS / ALTERNATOR / SET BARO,
2024-04-10,17:42:53,15:42:53,+02:00,+48.1135661,+9.7678763,1916,3D (GPS nav),315773.5,0.2,,-0,-0,-0.15,349.4,7.2,4,1459,1671,-6,14.3,15,6.91,-0.21,-0.022,0.990,303,,,,30.15,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-3.7,12.7,1532,,,,081117FF N100 N100,38,00000000,HWF,7000,ALT,70,16,0.8,1,890,25.4,11.8,11.7,-4,8.7,0,13,63,59,61,59,63,63,394,385,419,432,369,432,1,1,0,26,MAIN BUS / ALTERNATOR / SET BARO,
2024-04-10,17:42:54,15:42:54,+02:00,+48.1135680,+9.7678794,1918,3D (GPS nav),315774.5,0.1,,0,0,-0.10,349.3,7.2,4,1460,1671,-3,14.3,15,6.90,-0.27,-0.000,1.005,303,,,,30.15,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.7,12.7,1532,,,,081117FF N100 N100,30,00000000,HWF,7000,ALT,70,16,1.0,1,940,24.7,12.1,11.7,-4,9.3,0,13,63,59,61,59,63,63,459,457,496,520,464,511,1,1,0,28,MAIN BUS / ALTERNATOR / SET BARO,
2024-04-10,17:42:55,15:42:55,+02:00,+48.1135686,+9.7678789,1916,3D (GPS nav),315775.5,0.1,,0,-0,0.05,349.2,7.2,4,1460,1671,-0,14.3,15,6.89,-0.27,-0.010,0.987,303,,,,30.15,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.7,12.7,1532,,,,081117FF N100 N100,27,00000000,HWF,7000,ALT,70,16,1.1,2,1020,24.1,12.2,11.7,-4,9.6,0,13,64,61,63,61,63,63,518,522,567,585,538,577,1,1,0,29,MAIN BUS / ALTERNATOR / SET BARO,
2024-04-10,17:42:56,15:42:56,+02:00,+48.1135677,+9.7678789,1915,3D (GPS nav),315776.5,0.1,,0,-0,0.00,349.0,4.7,5,1460,1671,7,14.3,15,6.89,-0.35,-0.000,1.004,303,,,,30.15,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.7,12.7,1532,,,,040017FF N100 N100,37,00000000,HWF,7000,ALT,70,16,1.1,3,1080,23.4,12.3,11.7,-4,9.6,0,13,64,63,63,61,64,64,574,577,631,640,594,628,1,1,0,31,MAIN BUS / ALTERNATOR / SET BARO,
2024-04-10,17:42:57,15:42:57,+02:00,+48.1135697,+9.7678789,1910,3D (GPS nav),315777.5,0.1,,-0,0,-0.02,349.0,4.7,5,1460,1671,-1,14.2,14,6.89,-0.37,0.008,0.981,303,,,,30.15,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.7,12.7,1531,,,,040017FF N100 N100,23,00000000,HWF,7000,ALT,70,16,1.2,4,1110,22.3,12.3,11.7,-4,9.1,0,13,66,63,63,61,64,64,639,639,696,703,662,682,1,1,0,31,MAIN BUS / ALTERNATOR / SET BARO,
2024-04-10,17:42:58,15:42:58,+02:00,+48.1135694,+9.7678797,1911,3D (GPS nav),315778.5,0.1,,0,0,0.08,348.9,4.7,5,1460,1671,2,14.1,14,6.94,-0.34,-0.010,0.998,303,,,,30.15,,GPS1,LOI,,,,,,,,ENR,,,,,,,,,,,,,,,,,,-3.7,12.7,1531,,,,040017FF N100 N100,22,00000000,HWF,7000,ALT,70,16,1.1,6,1210,20.9,12.3,11.7,-4,8.5,0,13,66,64,64,63,66,66,693,693,752,756,714,730,1,1,0,31,MAIN BUS / ALTERNATOR / SET BARO,
