#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="44.9",engine_hours="33.6",engine_cycles="4"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2024-06-18,10:00:33,08:00:33,+02:00,+48.1135583,+9.7679207,1899,3D (GPS nav),201632.9,6.5,,-3,-0,0.05,12.8,6.8,4,1800,1891,-3,14.7,15,7.03,-0.59,0.012,0.990,303,,,,30.02,,GPS1,LOI,USR01,,295,296,-0.227,,,TERM,,,,,,,,,,,,,,,,,,-3.8,19.3,2719,,,,081117FF N100 N100,5,00000000,,4452,ALT,63,16,0.6,0,0,27.4,12.5,11.9,-8,8.3,2,5,63,59,59,59,57,59,59,59,59,61,61,59,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-06-18,10:00:34,08:00:34,+02:00,+48.1135472,+9.7678779,1909,3D (GPS nav),201633.8,6.1,,-3,0,0.08,12.8,3.9,5,1800,1891,3,14.7,15,7.05,-0.59,0.012,0.992,303,,,,30.02,,GPS1,LOI,USR01,18.4,295,296,-0.223,-0.11,12143,TERM,,,,,,,,,,,,,,,,,,-3.8,19.3,2719,,,,080017FF N100 N100,5,00000000,,4452,ALT,63,16,0.7,0,0,27.4,12.5,11.9,-7,7.0,2,5,63,59,59,59,57,59,59,59,59,61,61,59,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-06-18,10:00:35,08:00:35,+02:00,+48.1135561,+9.7678538,1906,3D (GPS nav),201634.8,3.9,,-0,-0,-0.08,12.8,3.9,5,1800,1891,-3,14.7,15,7.04,-0.63,0.012,0.992,303,,,,30.02,,GPS1,,USR01,18.4,295,296,-0.227,-0.11,12134,TERM,,,,,,,,,,,,,,,,,,-3.8,19.3,2720,,,,040017FF N100 N100,3,00000000,,4452,ALT,63,16,0.6,0,0,27.4,12.5,11.9,-6,4.6,2,5,63,59,59,59,57,59,59,59,59,61,61,59,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-06-18,10:00:36,08:00:36,+02:00,+48.1135555,+9.7678527,1904,3D (GPS nav),201635.8,0.6,,0,0,0.06,13.0,3.9,5,1800,1891,3,14.8,15,6.89,-0.42,0.009,0.992,303,,,,30.02,,GPS1,,USR01,18.4,295,296,-0.227,-0.11,12131,TERM,,,,,,,,,,,,,,,,,,-3.8,19.3,2720,,,,040017FF N100 N100,2,00000000,,4452,ALT,63,16,0.3,0,0,27.4,12.5,11.9,-5,2.7,2,5,63,59,59,59,57,59,59,59,59,61,61,59,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-06-18,10:00:37,08:00:37,+02:00,+48.1135552,+9.7678511,1905,3D (GPS nav),201636.8,0.1,,0,-0,-0.02,13.1,3.9,5,1800,1891,-0,14.9,16,6.88,-0.35,0.007,0.995,303,,,,30.02,,GPS1,,USR01,18.4,295,296,-0.227,-0.11,12131,TERM,,,,,,,,,,,,,,,,,,-3.8,19.3,2720,,,,040017FF N100 N100,18,00000000,,4452,ALT,63,16,0.1,0,0,27.4,12.2,11.9,-5,1.4,2,5,64,57,59,59,57,57,59,59,59,63,63,59,1,1,1,0,MAIN BUS / ALTERNATOR / STARTER,
2024-06-18,10:00:38,08:00:38,+02:00,+48.1135502,+9.7678486,1905,3D (GPS nav),201637.8,0.1,,-0,-0,0.02,13.1,3.9,5,1800,1891,2,14.9,16,7.01,-0.52,0.017,0.993,303,,,,30.02,,GPS1,,USR01,18.4,295,296,-0.223,-0.11,12131,TERM,,,,,Fail / System not usable,,,,,,,,,,,,,-3.8,19.3,2720,,,,040017FF N100 N100,39,00000000,CRW CEP,4452,ALT,63,16,0.1,0,0,27.5,11.1,11.8,-4,0.8,2,5,64,59,59,59,57,59,59,59,70,63,63,61,1,1,1,0,MAIN BUS / ALTERNATOR / STARTER,
2024-06-18,10:00:39,08:00:39,+02:00,+48.1135506,+9.7678463,1904,3D (GPS nav),201638.8,0.1,,0,0,-0.06,13.2,3.9,5,1800,1891,3,14.9,16,6.98,-0.72,0.010,0.967,303,,,,30.02,,GPS1,,USR01,18.4,295,296,-0.223,-0.11,12131,TERM,,,,,Fail,,,,,,,,,,,,,-3.8,19.3,2720,,,,040017FF N100 N100,84,00000000,,4452,ALT,149,16,0.1,0,160,27.4,10.7,11.8,-4,2.7,2,5,64,61,59,59,55,59,153,135,138,127,127,153,1,1,0,1,MAIN BUS / ALTERNATOR,
2024-06-18,10:00:40,08:00:40,+02:00,+48.1135533,+9.7678458,1904,3D (GPS nav),201639.8,0.1,,0,0,0.01,13.1,3.9,5,1801,1892,6,14.9,16,6.88,-0.68,-0.016,1.001,303,,,,30.02,,GPS1,,USR01,18.4,295,296,-0.223,-0.11,12131,TERM,,,,,Fail,,,,,,,,,,,,,-3.8,19.3,2721,,,,040017FF N100 N100,58,00000000,,4452,ALT,174,16,0.4,0,810,26.5,11.3,11.8,-4,6.2,2,5,64,61,59,59,55,59,262,228,257,190,214,232,1,1,0,14,MAIN BUS / ALTERNATOR,
2024-06-18,10:00:41,08:00:41,+02:00,+48.1135538,+9.7678463,1904,3D (GPS nav),201640.8,0.1,,-0,-0,0.05,13.0,3.9,5,1800,1892,-1,14.9,16,6.98,-0.61,0.041,0.973,303,,,,30.02,,GPS1,,USR01,18.4,295,296,-0.223,-0.11,12131,TERM,,,,,Fail,,,,,,,,,,,,,-3.8,19.3,2721,,,,040017FF N100 N100,52,00000000,,4452,ALT,144,16,0.7,0,900,25.7,11.7,11.9,-4,8.1,2,5,64,61,59,59,57,59,345,336,358,243,280,295,1,1,0,23,MAIN BUS / ALTERNATOR,
