#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="21.1",engine_hours="15.3",engine_cycles="4"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2023-07-31,11:21:26,09:21:26,+02:00,+48.1138260,+9.7645382,1904,3D-,120103.7,5.4,,-0,3,0.98,,2.3,8,1795,1915,32,14.9,16,,,0.001,0.990,187,,,,30.05,,GPS,,USR004,4.9,312,314,-0.170,-0.14,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,22.6,3091,,,,081011F8 A30 A30,6,00000000,,178,16,0.1,0,0,27.8,0.1,12.8,0,0.0,19,2,160,196,244,239,237,217,183,208,264,253,266,237,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-07-31,11:21:26,09:21:26,+02:00,+48.1138325,+9.7645408,1906,3D-,120104.4,5.3,,-0,3,1.12,,2.3,8,1796,1916,36,15.0,16,,,0.004,0.992,187,,,,30.05,,GPS,,USR004,4.9,312,314,-0.170,-0.14,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,22.6,3092,,,,081011F8 A32 A32,4,00000000,,178,16,0.1,0,0,27.8,0.1,12.8,0,0.0,19,2,160,196,244,239,237,217,183,208,264,253,266,237,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-07-31,11:21:27,09:21:27,+02:00,+48.1138463,+9.7645419,1911,3D-,120105.4,4.8,,-0,2,1.28,,2.3,8,1796,1916,18,10.7,11,,,-0.003,0.988,187,,,,30.05,,GPS,,USR004,4.9,312,314,-0.171,-0.14,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,22.6,3093,,,,081011F8 A35 A35,4,00000000,,178,16,0.1,0,0,27.8,0.1,12.8,0,0.0,19,2,160,196,244,239,237,217,183,208,264,253,266,237,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-07-31,11:21:28,09:21:28,+02:00,+48.1138385,+9.7645446,1911,3D-,120106.5,2.5,,0,0,0.55,,1.4,8,1795,1916,-15,11.7,12,,,0.005,0.988,187,,,,30.05,,GPS,,USR004,4.9,312,314,-0.171,-0.14,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,22.6,3092,,,,081011F8 A38 A38,5,00000000,,178,16,0.1,0,0,27.8,0.1,12.8,0,0.0,19,2,160,196,244,239,237,217,183,208,264,253,266,237,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-07-31,11:21:30,09:21:30,+02:00,+48.1138342,+9.7645460,1911,3D-,120107.5,0.3,,0,0,0.17,,1.2,9,1794,1915,-27,12.2,13,,,0.008,0.992,187,,,,30.05,,GPS,,USR004,4.9,312,314,-0.170,-0.14,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,22.6,3092,,,,081111F8 A41 A41,8,00000000,,178,16,0.1,0,0,27.8,0.1,12.8,0,0.0,19,2,160,196,244,239,237,217,183,208,264,253,266,237,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-07-31,11:21:30,09:21:30,+02:00,+48.1138347,+9.7645485,1911,3D-,120108.4,0.0,,0,0,0.09,,1.2,9,1794,1915,-17,12.3,13,,,0.005,0.994,187,,,,30.05,,GPS,,USR004,4.9,312,314,-0.171,-0.14,7595,1.25nm,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,-3.6,22.6,3091,,,,081111F8 A44 A44,6,00000000,L+,178,16,0.1,0,0,27.8,0.1,12.8,0,0.0,19,2,160,196,244,239,237,217,183,208,264,253,266,237,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-07-31,11:21:31,09:21:31,+02:00,+48.1138325,+9.7645480,1911,3D-,120109.4,0.0,,0,0,0.06,,1.2,9,1794,1915,-16,12.7,13,,,0.005,0.994,187,,,,30.05,,GPS,,USR004,4.9,312,314,-0.171,-0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,22.6,3091,,,,081111F8 A47 A47,2,00000000,,178,16,0.1,0,0,27.8,0.1,12.8,0,0.0,19,2,160,196,244,239,237,217,183,208,264,253,266,237,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-07-31,11:21:32,09:21:32,+02:00,+48.1138023,+9.7645065,1893,3D-,120110.4,0.0,,0,0,0.04,,1.2,9,1794,1915,-7,12.9,14,,,0.004,0.991,187,,,,30.05,,GPS,,USR004,4.9,312,314,-0.168,-0.13,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,22.6,3090,,,,081111F8 A50 A50,2,00000000,,178,16,0.1,0,0,27.8,2.5,12.8,-1,0.0,19,2,160,196,244,239,237,217,183,208,264,253,266,237,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-07-31,11:21:33,09:21:33,+02:00,+48.1137981,+9.7645046,1892,3D-,120111.4,0.0,,0,0,0.03,,1.2,9,1794,1915,-8,12.8,13,,,0.004,0.992,187,,,,30.05,,GPS,,USR004,4.9,312,314,-0.168,-0.13,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,22.6,3089,,,,081111F8 A53 A53,2,00000000,L+,178,16,0.1,0,0,27.8,7.1,12.8,-1,0.0,19,2,160,196,244,239,237,217,183,208,264,253,266,237,1,1,0,0,MAIN BUS / ALTERNATOR,
