#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="22.0",engine_hours="16.0",engine_cycles="4"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2023-08-08,19:52:11,17:52:11,+02:00,+48.1139220,+9.7647106,1913,3D-,237149.0,0.2,,0,0,0.21,,1.2,9,1768,1936,2,12.5,13,,,0.005,0.990,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.179,-0.14,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,20.6,2831,,,,081011F8 A30 A30,4,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,291,280,289,270,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:12,17:52:12,+02:00,+48.1139280,+9.7647152,1912,3D-,237149.8,0.0,,0,0,0.14,,1.2,9,1768,1936,-0,12.5,13,,,0.005,0.991,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.179,-0.14,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,20.6,2831,,,,081011F8 A32 A32,4,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,291,280,289,270,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:13,17:52:13,+02:00,+48.1139302,+9.7647139,1911,3D-,237150.7,0.0,,0,0,0.10,,1.2,9,1768,1936,5,12.5,13,,,0.003,0.993,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.179,-0.14,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,20.6,2830,,,,081011F8 A35 A35,2,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,291,280,289,270,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:14,17:52:14,+02:00,+48.1139304,+9.7647124,1909,3D-,237151.8,0.0,,0,0,0.07,,1.2,9,1768,1936,1,12.4,13,,,0.004,0.991,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.179,-0.14,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,20.6,2830,,,,081011F8 A38 A38,4,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,291,280,289,270,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:15,17:52:15,+02:00,+48.1139298,+9.7647081,1908,3D-,237152.9,0.0,,0,0,0.05,,1.2,9,1768,1936,4,12.3,13,,,0.002,0.990,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.179,-0.14,7595,1.25nm,,,,,Powerup,,,,,,,,,,,,,-3.6,20.6,2830,,,,081111F8 A42 A42,4,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,291,280,289,270,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:16,17:52:16,+02:00,+48.1139282,+9.7647042,1908,3D-,237153.6,0.0,,0,0,0.04,,1.2,9,1768,1936,-0,12.3,13,,,0.005,0.991,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.179,-0.14,7595,1.25nm,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,-3.6,20.6,2830,,,,081111F8 A44 A44,3,00000000,L+,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,291,280,288,270,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:17,17:52:17,+02:00,+48.1139264,+9.7646998,1907,3D-,237154.6,0.0,,0,0,0.03,,1.2,9,1768,1936,-7,12.4,13,,,0.003,0.991,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.179,-0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,20.6,2829,,,,081111F8 A47 A47,2,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,291,280,288,270,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:18,17:52:18,+02:00,+48.1139246,+9.7646960,1907,3D-,237155.6,0.0,,0,0,0.03,,1.2,9,1768,1936,1,12.5,13,,,0.003,0.991,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.179,-0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,20.6,2829,,,,081111F8 A50 A50,3,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,291,279,288,270,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:19,17:52:19,+02:00,+48.1139249,+9.7646955,1907,3D-,237156.7,0.0,,0,0,0.02,,1.2,9,1768,1936,1,12.6,13,,,0.004,0.992,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.179,-0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,20.6,2829,,,,081111F8 A53 A53,2,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,291,279,288,270,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:20,17:52:20,+02:00,+48.1139221,+9.7646890,1904,3D-,237157.6,0.0,,0,0,0.02,,1.2,9,1768,1936,4,12.4,13,,,0.003,0.993,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.178,-0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,20.6,2829,,,,081111F8 A56 A56,2,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,291,279,288,270,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:21,17:52:21,+02:00,+48.1139226,+9.7646890,1903,3D-,237158.6,0.0,,0,0,0.02,,1.2,9,1768,1936,-7,12.5,13,,,0.003,0.991,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.178,-0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,20.6,2828,,,,081111F8 A59 A59,2,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,289,279,288,268,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:22,17:52:22,+02:00,+48.1139230,+9.7646895,1901,3D-,237159.6,0.0,,0,0,0.01,,1.2,9,1768,1936,-2,12.6,13,,,0.022,0.979,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.178,-0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,20.6,2828,,,,081111F8 A62 A62,8,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,289,279,288,268,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:23,17:52:23,+02:00,+48.1139230,+9.7646896,1900,3D,237160.6,0.0,,0,0,-0.00,,1.4,9,1768,1936,2,12.7,13,,,0.006,0.991,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.178,-0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,20.6,2827,,,,080011F8 A65 A65,16,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,289,279,288,268,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:24,17:52:24,+02:00,+48.1139225,+9.7646890,1900,3D,237161.7,0.0,,0,0,0.00,,1.2,9,1768,1936,-3,12.6,13,,,-0.002,0.989,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.178,-0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,20.6,2827,,,,040011F8 A68 A68,4,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,289,279,288,268,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:25,17:52:25,+02:00,+48.1139219,+9.7646879,1899,3D,237162.6,0.0,,0,0,-0.00,,1.2,9,1768,1936,-1,12.5,13,,,0.001,0.991,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.178,-0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,20.6,2827,,,,040011F8 A71 A71,3,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,289,279,286,268,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:26,17:52:26,+02:00,+48.1139210,+9.7646861,1899,3D,237163.6,0.0,,0,0,-0.00,,1.4,9,1768,1936,-5,12.5,13,,,0.003,0.991,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.178,-0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,20.6,2827,,,,040011F8 A74 A74,4,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,289,277,286,268,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-08,19:52:27,17:52:27,+02:00,+48.1139203,+9.7646848,1899,3D,237164.6,0.0,,0,0,-0.00,,1.4,9,1768,1936,-4,12.5,13,,,0.003,0.991,187,,,,30.10,,GPS,,USR004,4.9,312,314,-0.178,-0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,20.6,2827,,,,040011F8 A77 A77,3,00000000,,190,16,0.1,0,0,27.9,0.1,12.7,0,0.0,19,2,210,246,279,273,271,255,225,239,289,277,286,268,1,1,0,0,MAIN BUS / ALTERNATOR,
